example_id	analysis	panel_id	exposure_id	exposure	iv_threshold	n_instruments	n_outcomes	title	description
neg__Meat_consumption__p5e_07	negative_control	O3_original	Meat_consumption	Meat consumption	5e-07	29	3	Meat consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 29 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Meat_consumption__p5e_08	negative_control	O3_original	Meat_consumption	Meat consumption	5e-08	16	3	Meat consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 16 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Non_oily_fish_consumption__p5e_07	negative_control	O3_original	Non_oily_fish_consumption	Non-oily fish consumption	5e-07	6	3	Non-oily fish consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 6 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Non_oily_fish_consumption__p5e_08	negative_control	O3_original	Non_oily_fish_consumption	Non-oily fish consumption	5e-08	5	3	Non-oily fish consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 5 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Oily_fish_consumption__p5e_07	negative_control	O3_original	Oily_fish_consumption	Oily fish consumption	5e-07	71	3	Oily fish consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 71 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Oily_fish_consumption__p5e_08	negative_control	O3_original	Oily_fish_consumption	Oily fish consumption	5e-08	41	3	Oily fish consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 41 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Overall_healthy_diet__p5e_07	negative_control	O3_original	Overall_healthy_diet	Overall healthy diet	5e-07	26	3	Overall healthy diet against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 26 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Overall_healthy_diet__p5e_08	negative_control	O3_original	Overall_healthy_diet	Overall healthy diet	5e-08	14	3	Overall healthy diet against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 14 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Percentage_fat_in_milk_consu__p5e_07	negative_control	O3_original	Percentage_fat_in_milk_consumption	Percentage fat in milk consumption	5e-07	15	3	Percentage fat in milk consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 15 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Percentage_fat_in_milk_consu__p5e_08	negative_control	O3_original	Percentage_fat_in_milk_consumption	Percentage fat in milk consumption	5e-08	8	3	Percentage fat in milk consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 8 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Pork_consumption__p5e_07	negative_control	O3_original	Pork_consumption	Pork consumption	5e-07	13	3	Pork consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 13 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Pork_consumption__p5e_08	negative_control	O3_original	Pork_consumption	Pork consumption	5e-08	4	3	Pork consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 4 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Processed_meat_consumption__p5e_07	negative_control	O3_original	Processed_meat_consumption	Processed meat consumption	5e-07	14	3	Processed meat consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 14 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Processed_meat_consumption__p5e_08	negative_control	O3_original	Processed_meat_consumption	Processed meat consumption	5e-08	4	3	Processed meat consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 4 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Psychoactive_drinks_consumpt__p5e_07	negative_control	O3_original	Psychoactive_drinks_consumption	Psychoactive drinks consumption	5e-07	21	3	Psychoactive drinks consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 21 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Psychoactive_drinks_consumpt__p5e_08	negative_control	O3_original	Psychoactive_drinks_consumption	Psychoactive drinks consumption	5e-08	14	3	Psychoactive drinks consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 14 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Red_wine_consumption__p5e_07	negative_control	O3_original	Red_wine_consumption	Red wine consumption	5e-07	10	3	Red wine consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 10 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Red_wine_consumption__p5e_08	negative_control	O3_original	Red_wine_consumption	Red wine consumption	5e-08	5	3	Red wine consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 5 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Salad_consumption__p5e_07	negative_control	O3_original	Salad_consumption	Salad consumption	5e-07	34	3	Salad consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 34 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Salad_consumption__p5e_08	negative_control	O3_original	Salad_consumption	Salad consumption	5e-08	17	3	Salad consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 17 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Spread_on_bread_consumption__p5e_07	negative_control	O3_original	Spread_on_bread_consumption	Spread on bread consumption	5e-07	13	3	Spread on bread consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 13 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Spread_on_bread_consumption__p5e_08	negative_control	O3_original	Spread_on_bread_consumption	Spread on bread consumption	5e-08	4	3	Spread on bread consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 4 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Tea_consumption__p5e_07	negative_control	O3_original	Tea_consumption	Tea consumption	5e-07	41	3	Tea consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 41 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Tea_consumption__p5e_08	negative_control	O3_original	Tea_consumption	Tea consumption	5e-08	23	3	Tea consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 23 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Vegetables_consumption__p5e_07	negative_control	O3_original	Vegetables_consumption	Vegetables consumption	5e-07	39	3	Vegetables consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 39 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Vegetables_consumption__p5e_08	negative_control	O3_original	Vegetables_consumption	Vegetables consumption	5e-08	22	3	Vegetables consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 22 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Water_consumption__p5e_07	negative_control	O3_original	Water_consumption	Water consumption	5e-07	100	3	Water consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 100 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Water_consumption__p5e_08	negative_control	O3_original	Water_consumption	Water consumption	5e-08	50	3	Water consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 50 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Water_consumption_corrected___p5e_07	negative_control	O3_original	Water_consumption_corrected_for_coffee	Water consumption corrected for coffee	5e-07	72	3	Water consumption corrected for coffee against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 72 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Water_consumption_corrected___p5e_08	negative_control	O3_original	Water_consumption_corrected_for_coffee	Water consumption corrected for coffee	5e-08	38	3	Water consumption corrected for coffee against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 38 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
